api,description,method,inputBody,outputCode,check
"http://localhost:3000/dang-nhap","login đúng tài khoản, đúng mật khẩu","login","{""email"": ""admin@gmail.com"",""password"":""admin123123132142412""}","thông báo không tìm thấy tài khoản",U0
"http://localhost:3000/dang-nhap","login với email thiếu @","login","{""email"": ""adc"",""password"":""222as""}","không cho phép submit và hiện yêu cầu thêm @",U1
"http://localhost:3000/dang-nhap","login với email không đúng cấu trúc","login","{""email"": ""adc@gmail"",""password"":""222as""}","thông báo email không hợp lệ",U2
"http://localhost:3000/dang-nhap","login không nhập nhập email","login","{""email"": """",""password"":""222as""}","không cho phép submit và hiện trỏ chuột tại vị trí chưa điền",U3
"http://localhost:3000/dang-nhap","login không nhập nhập password","login","{""email"": ""admin@gmail.com"",""password"":""""}","không cho phép submit và hiện trỏ chuột tại vị trí chưa điền",U4
"http://localhost:3000/dang-nhap","login đúng tài khoản, sai mật khẩu","login","{""email"": ""admin@gmail.com"",""password"":""123456789a""}","thông báo sai mật khẩu",U5
"http://localhost:3000/dang-nhap","login đúng tài khoản, check mật khẩu có viết hoa có khác viết thường không","login","{""email"": ""admin@gmail.com"",""password"":""ADmin""}","thông báo sai mật khẩu",U6
"http://localhost:3000/dang-nhap","login đúng tài khoản,  mật khẩu có dấu cách cuối thì như nào","login","{""email"": ""admin@gmail.com"",""password"":""123456789     ""}","thông báo sai mật khẩu",U7
"http://localhost:3000/dang-nhap","login đúng tài khoản,  mật khẩu đăng nhập quản lý","login","{""email"": ""admin@gmail.com"",""password"":""123456789""}","thông báo thành công chuyển trang quản lý ",U8
"http://localhost:3000/dang-nhap","login đúng tài khoản,  mật khẩu đăng nhập nhân viên","login","{""email"": ""admin@gmail.com"",""password"":""123456789""}","thông báo thành công chuyển trang nhân viên",U9
"http://localhost:3000/dang-nhap","login đúng tài khoản, đúng mật khẩu","login","{""email"": ""thai4@gmail.com"",""password"":""123456789""}","thông báo đăng nhập thành công chuyển trang",U10
"http://localhost:3000/dang-nhap","login check SQL ","login","{""email"": ""admin@gmail.com"",""password"":"" OR '1'='1'""}","thông báo sai mật khẩu",U11
"http://localhost:3000/dang-ky","test giao diện khi đăng ký thiếu name","signup","{""name"": """",""email"": ""admin@gmail.com"",""phone"":""22082309"",""passwordConfirm"":""admin"",""password"":""admin""}","không cho phép submit và hiện trỏ chuột tại vị trí chưa điền",U12
"http://localhost:3000/dang-ky","test giao điện khi đăng ký email đã tồn tại ","signup","{""name"": ""thai"",""email"": ""admin@gmail.com"",""phone"":""22082309"",""passwordConfirm"":""admin"",""password"":""admin""}","thông báo email đã tồn tại",U13
"http://localhost:3000/dang-ky","test giao điện khi đăng ký không có mật khẩu","signup","{""name"": ""thai"",""email"": ""admin@gmail.com"",""phone"":""22082309"",""passwordConfirm"":""admin"",""password"":""""}","không cho phép submit và hiện trỏ chuột tại vị trí chưa điền",U14
"http://localhost:3000/dang-ky","test giao điện khi đăng ký đúng","signup","{""name"": ""thai"",""email"": ""thai4@gmail.com"",""password"":""123456789""}","thông báo đăng ký thành công thành công",U15
"http://localhost:3000","hiển thị danh sách sản phảm","showProduct","{}","Hiện thị trang chủ đúng theo thiết kế",U16
